"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","if_diff_5yrs","interval","check_ty_correct"
"Japan","FAFRFJ-RBRMECS-1969-2013-JPNIMP2016","RBRMECS","FAJ","FAFRFJ","1969-2013",1969,2013,"http://abchan.job.affrc.go.jp/digests25/details/2546.pdf","VPA","Unknown","Virtual Population Analysis","Japan","East China Sea","Japan-FAJ-ECS","Red seabream East China Sea","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Pagrus major","Red seabream",999,"Current","Japan",61,"Imported from Japanese data dump received 2016","0.125","NULL","",NA,NA,1986,2013,1986,2013,1969,2013,2013,1,2010,2009,"FAFRFJ-RBRMECS-1969-2013-JPNIMP2016_2010","FAFRFJ-RBRMECS-1969-2013-JPNIMP2016_2009",16900,17200,"TBbest-MT","MT",16900,17200,16900,17200,NA,NA,10400,10500,NA,NA,0.331952662721893,0.376162790697674,"ERbest-ratio","ratio",0.331952662721893,0.376162790697674,NA,NA,NA,NA,0.12,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,96879.9895,"TBmsy-calc-MT",87132,"",NA,NA,"","N",3,"Y"
"Japan","FAFRFJ-RBRMSETOE-1977-2010-ONO","RBRMSETOE","FAJ","FAFRFJ","1977-2010",1977,2010,"NULL","VPA","VPA","Virtual Population Analysis","Japan","Inland Sea of Japan (East)","Japan-FAJ-SETOE","Red seabream Inland Sea of Japan (East)","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Pagrus major","Red seabream",0,"Current","Japan",61,"in japanese","0.24","NULL","",NA,NA,1977,2010,1977,2010,1977,2010,2010,2,2010,2009,"FAFRFJ-RBRMSETOE-1977-2010-ONO_2010","FAFRFJ-RBRMSETOE-1977-2010-ONO_2009",5310,5390,"TBbest-MT","MT",5310,5390,5310,5390,NA,NA,2260,2140,NA,NA,0.388,0.395,"ERbest-ratio","ratio",0.388,0.395,0.388,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","N",3,"Y"
"Japan","FAFRFJ-RBRMSETOE-1977-2013-JPNIMP2016","RBRMSETOE","FAJ","FAFRFJ","1977-2013",1977,2013,"http://abchan.job.affrc.go.jp/digests25/details/2544.pdf","VPA","Unknown","Virtual Population Analysis","Japan","Inland Sea of Japan (East)","Japan-FAJ-SETOE","Red seabream Inland Sea of Japan (East)","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Pagrus major","Red seabream",999,"Current","Japan",61,"Imported from Japanese data dump received 2016","0.24","NULL","age specific M(0: 0.39, 1: 0.24, 2+: 0.17)",NA,NA,1977,2013,1977,2013,1977,2013,2013,1,2010,2009,"FAFRFJ-RBRMSETOE-1977-2013-JPNIMP2016_2010","FAFRFJ-RBRMSETOE-1977-2013-JPNIMP2016_2009",4890,4940,"TBbest-MT","MT",4890,4940,4890,4940,NA,NA,2060,2030,NA,NA,0.417177914110429,0.412955465587045,"ERbest-ratio","ratio",0.417177914110429,0.412955465587045,NA,NA,NA,NA,0.145,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,21417.4391,"TBmsy-calc-MT",16552,"",NA,NA,"","N",3,"Y"
"Japan","FAFRFJ-RBRMSETOW-1977-2010-ONO","RBRMSETOW","FAJ","FAFRFJ","1977-2010",1977,2010,"NULL","VPA","VPA","Virtual Population Analysis","Japan","Inland Sea of Japan (West)","Japan-FAJ-SETOW","Red seabream Inland Sea of Japan (West)","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Pagrus major","Red seabream",0,"Current","Japan",61,"in japanese","0.24","NULL","",NA,NA,1977,2010,1977,2010,1977,2010,2010,2,2010,2009,"FAFRFJ-RBRMSETOW-1977-2010-ONO_2010","FAFRFJ-RBRMSETOW-1977-2010-ONO_2009",8620,9480,"TBbest-MT","MT",8620,9480,8620,9480,NA,NA,6880,6760,NA,NA,0.264,0.24,"ERbest-ratio","ratio",0.264,0.24,0.264,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","N",3,"Y"
"Japan","FAFRFJ-RBRMSETOW-1977-2013-JPNIMP2016","RBRMSETOW","FAJ","FAFRFJ","1977-2013",1977,2013,"http://abchan.job.affrc.go.jp/digests25/details/2545.pdf","VPA","Unknown","Virtual Population Analysis","Japan","Inland Sea of Japan (West)","Japan-FAJ-SETOW","Red seabream Inland Sea of Japan (West)","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Pagrus major","Red seabream",999,"Current","Japan",61,"Imported from Japanese data dump received 2016","0.24","NULL","age specific M(0: 0.39, 1: 0.24, 2+: 0.17)",NA,NA,1977,2013,1977,2013,1977,2013,2013,1,2010,2009,"FAFRFJ-RBRMSETOW-1977-2013-JPNIMP2016_2010","FAFRFJ-RBRMSETOW-1977-2013-JPNIMP2016_2009",8510,8650,"TBbest-MT","MT",8510,8650,8510,8650,NA,NA,5250,5480,NA,NA,0.266745005875441,0.263583815028902,"ERbest-ratio","ratio",0.266745005875441,0.263583815028902,NA,NA,NA,NA,0.173,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,24122.1391,"TBmsy-calc-MT",18103,"",NA,NA,"","N",3,"Y"
"Japan","FAFRFJ-SPANMACKSETO-1987-2010-ONO","SPANMACKSETO","FAJ","FAFRFJ","1987-2010",1987,2010,"NULL","VPA","VPA","Virtual Population Analysis","Japan","Inland Sea of Japan","Japan-FAJ-SETO","Japanese Spanish mackerel Inland Sea of Japan","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus niphonius","Scomberomorus niphonius","Japanese Spanish mackerel",0,"Current","Japan",61,"in japanese","0.3","NULL","",NA,NA,1987,2010,1987,2010,1987,2010,2010,2,2010,2009,"FAFRFJ-SPANMACKSETO-1987-2010-ONO_2010","FAFRFJ-SPANMACKSETO-1987-2010-ONO_2009",4610,3640,"TBbest-MT","MT",4610,3640,4610,3640,NA,NA,1900,1740,NA,NA,0.313,0.376,"ERbest-ratio","ratio",0.313,0.376,0.313,0.376,0.93,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","N",3,"Y"
"Japan","FAFRFJ-SPANMACKSETO-1987-2013-JPNIMP2016","SPANMACKSETO","FAJ","FAFRFJ","1987-2013",1987,2013,"http://abchan.job.affrc.go.jp/digests25/details/2554.pdf","VPA","Unknown","Virtual Population Analysis","Japan","Inland Sea of Japan","Japan-FAJ-SETO","Japanese Spanish mackerel Inland Sea of Japan","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus niphonius","Scomberomorus niphonius","Japanese Spanish mackerel",999,"Current","Japan",61,"Imported from Japanese data dump received 2016","0.3","NULL","",NA,NA,1987,2013,1987,2013,1987,2013,2013,1,2010,2009,"FAFRFJ-SPANMACKSETO-1987-2013-JPNIMP2016_2010","FAFRFJ-SPANMACKSETO-1987-2013-JPNIMP2016_2009",4180,3700,"TBbest-MT","MT",4180,3700,4180,3700,NA,NA,1930,1730,NA,NA,0.344497607655502,0.372972972972973,"ERbest-ratio","ratio",0.344497607655502,0.372972972972973,NA,NA,NA,NA,0.283,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,24474.4064,"TBmsy-calc-MT",16707,"",NA,NA,"","N",3,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN","RROCKLOBSTERCRA1","MFish","NZMFishLOBSTERWG","1945-2001",1945,2001,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA1","New Zealand-MFish-CRA1","Red rock lobster New Zealand Area CRA1","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"fpcs.fish.govt.nz/science/documents//2003%20FARs/03_41_FAR.pdf",NA,NA,NA,NA,NA,1945,2001,1945,2001,1945,2001,2001,2,2001,2000,"NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN_2001","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN_2000",1770,1820,"TBbest-MT","MT",1770,1820,1770,1820,NA,NA,NA,NA,NA,NA,0.146,0.143,"ERbest-ratio","ratio",0.146,0.143,0.146,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",12,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2014-STARR","RROCKLOBSTERCRA1","MFish","NZMFishLOBSTERWG","1945-2014",1945,2014,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA1","New Zealand-MFish-CRA1","Red rock lobster New Zealand Area CRA1","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary. Consequently the information presented in this spreadsheet is only a partial representation of the stock assessment results.","0.1245","NULL","Median of posterior distribution",NA,NA,1945,2014,1945,2013,1945,2013,2013,1,2001,2000,"NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2014-STARR_2001","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2014-STARR_2000",614,598,"TBbest-MT","MT",614,598,614,598,NA,NA,NA,NA,NA,NA,0.167,0.159,"ERbest-ratio","ratio",0.167,0.159,0.167,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",12,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN","RROCKLOBSTERCRA2","MFish","NZMFishLOBSTERWG","1945-2001",1945,2001,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA2","New Zealand-MFish-CRA2","Red rock lobster New Zealand Area CRA2","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"fpcs.fish.govt.nz/science/documents//2003%20FARs/03_41_FAR.pdf",NA,NA,NA,NA,NA,1945,2001,1945,2001,1945,2001,2001,2,2001,2000,"NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN_2001","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN_2000",1170,1300,"TBbest-MT","MT",1170,1300,1170,1300,NA,NA,NA,NA,NA,NA,0.375,0.346,"ERbest-ratio","ratio",0.375,0.346,0.375,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",11,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2013-STARR","RROCKLOBSTERCRA2","MFish","NZMFishLOBSTERWG","1945-2013",1945,2013,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA2","New Zealand-MFish-CRA2","Red rock lobster New Zealand Area CRA2","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary. Consequently the information presented in this spreadsheet is only a partial representation of the stock assessment results.","0.161","NULL","Median of posterior distribution",NA,NA,1945,2013,1945,2012,1945,2012,2012,1,2001,2000,"NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2013-STARR_2001","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2013-STARR_2000",428,531,"TBbest-MT","MT",428,531,428,531,NA,NA,NA,NA,NA,NA,0.291,0.268,"ERbest-ratio","ratio",0.291,0.268,0.291,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",11,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN","RROCKLOBSTERCRA3","MFish","NZMFishLOBSTERWG","1945-2007",1945,2007,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA3","New Zealand-MFish-CRA3","Red rock lobster New Zealand Area CRA3","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"http://fs.fish.govt.nz/Page.aspx?pk=113&dk=21897",NA,NA,NA,NA,NA,1945,2007,1945,2007,1945,2007,2007,2,2007,2006,"NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN_2007","NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN_2006",164,160,"TBbest-MT","MT",164,160,164,160,NA,NA,NA,NA,NA,NA,1.81,1.91,"ERbest-ratio","ratio",1.81,1.91,1.81,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",6,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2014-STARR","RROCKLOBSTERCRA3","MFish","NZMFishLOBSTERWG","1945-2014",1945,2014,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA3","New Zealand-MFish-CRA3","Red rock lobster New Zealand Area CRA3","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary. Consequently the information presented in this spreadsheet is only a partial representation of the stock assessment results. Fixed shape results used for template","0.2511","NULL","Median of posterior distribution",NA,NA,1945,2014,1945,2013,1945,2013,2013,1,2007,2006,"NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2014-STARR_2007","NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2014-STARR_2006",1640,1600,"TBbest-MT","MT",1640,1600,1640,1600,NA,NA,NA,NA,NA,NA,0.373,0.391,"ERbest-ratio","ratio",0.373,0.391,0.373,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",6,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","RROCKLOBSTERCRA4","MFish","NZMFishLOBSTERWG","1945-2005",1945,2005,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA4","New Zealand-MFish-CRA4","Red rock lobster New Zealand Area CRA4","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"",NA,NA,NA,NA,NA,1945,2005,1945,2005,1945,2005,2005,2,2005,2004,"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN_2005","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN_2004",1640,1830,"TBbest-MT","MT",1640,1830,1640,1830,NA,NA,NA,NA,NA,NA,0.391,0.367,"ERbest-ratio","ratio",0.391,0.367,0.391,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","N",5,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2011-STARR","RROCKLOBSTERCRA4","MFish","NZMFishLOBSTERWG","1945-2011",1945,2011,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA4","New Zealand-MFish-CRA4","Red rock lobster New Zealand Area CRA4","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary. Consequently the information presented in this spreadsheet is only a partial representation of the stock assessment results.","0.3221","NULL","Median of posterior distribution",NA,NA,1945,2011,1945,2010,1945,2010,2010,1,2005,2004,"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2011-STARR_2005","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2011-STARR_2004",638,807,"TBbest-MT","MT",638,807,638,807,NA,NA,NA,NA,NA,NA,0.314,0.329,"ERbest-ratio","ratio",0.314,0.329,0.314,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","N",5,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN","RROCKLOBSTERCRA5","MFish","NZMFishLOBSTERWG","1945-2002",1945,2002,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA5","New Zealand-MFish-CRA5","Red rock lobster New Zealand Area CRA5","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"",NA,NA,NA,NA,NA,1945,2002,1945,2002,1945,2002,2002,2,2002,2001,"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN_2002","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN_2001",2500,2310,"TBbest-MT","MT",2500,2310,2500,2310,NA,NA,NA,NA,NA,NA,0.203,0.214,"ERbest-ratio","ratio",0.203,0.214,0.203,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",12,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2015-STARR","RROCKLOBSTERCRA5","MFish","NZMFishLOBSTERWG","1945-2015",1945,2015,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA5","New Zealand-MFish-CRA5","Red rock lobster New Zealand Area CRA5","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary. Consequently the information presented in this spreadsheet is only a partial representation of the stock assessment results. This template uses the with density-dep growth model.","0.1323","NULL","Median of posterior distribution",NA,NA,1945,2015,1945,2014,1945,2014,2014,1,2002,2001,"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2015-STARR_2002","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2015-STARR_2001",5310,4910,"TBbest-MT","MT",5310,4910,5310,4910,NA,NA,NA,NA,NA,NA,0.29,0.315,"ERbest-ratio","ratio",0.29,0.315,0.29,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",12,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1963-2015-STARR","RROCKLOBSTERCRA7","MFish","NZMFishLOBSTERWG","1963-2015",1963,2015,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA7","New Zealand-MFish-CRA7","Red rock lobster New Zealand Area CRA7","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary.","0.1029","NULL","Median of posterior distribution",NA,NA,1963,2015,1963,2014,1963,2014,2014,1,2005,2004,"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1963-2015-STARR_2005","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1963-2015-STARR_2004",589,443,"TBbest-MT","MT",589,443,589,443,NA,NA,NA,NA,NA,NA,0.159,0.19,"ERbest-ratio","ratio",0.159,0.19,0.159,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",9,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN","RROCKLOBSTERCRA7","MFish","NZMFishLOBSTERWG","1976-2005",1976,2005,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA7","New Zealand-MFish-CRA7","Red rock lobster New Zealand Area CRA7","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"",NA,NA,NA,NA,NA,1976,2005,1976,2005,1976,2005,2005,2,2005,2004,"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN_2005","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN_2004",406,247,"TBbest-MT","MT",406,247,406,247,NA,NA,NA,NA,NA,NA,0.248,0.404,"ERbest-ratio","ratio",0.248,0.404,0.248,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",9,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1963-2015-STARR","RROCKLOBSTERCRA8","MFish","NZMFishLOBSTERWG","1963-2015",1963,2015,"NULL","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA8","New Zealand-MFish-CRA8","Red rock lobster New Zealand Area CRA8","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",999,"Current","New Zealand",81,"This is a Bayesian stock assessment: all model output consists of posterior distributions of estimated parameters and derived parameters; only the median of these posteriors is provided for this summary. Consequently the information presented in this spreadsheet is only a partial representation of the stock assessment results.","0.0949","NULL","Median of posterior distribution",NA,NA,1963,2015,1963,2014,1963,2014,2014,1,2005,2004,"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1963-2015-STARR_2005","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1963-2015-STARR_2004",2220,1760,"TBbest-MT","MT",2220,1760,2220,1760,NA,NA,NA,NA,NA,NA,0.229,0.261,"ERbest-ratio","ratio",0.229,0.261,0.229,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",9,"Y"
"New Zealand","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN","RROCKLOBSTERCRA8","MFish","NZMFishLOBSTERWG","1976-2005",1976,2005,"received from contact","Multi-stock length-based model","MSLM","Multi-stock length-based model","New Zealand","New Zealand Area CRA8","New Zealand-MFish-CRA8","Red rock lobster New Zealand Area CRA8","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus edwardsii","Jasus edwardsii","Red rock lobster",0,"Current","New Zealand",81,"",NA,NA,NA,NA,NA,1976,2005,1976,2005,1976,2005,2005,2,2005,2004,"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN_2005","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN_2004",2300,1700,"TBbest-MT","MT",2300,1700,2300,1700,NA,NA,NA,NA,NA,NA,0.273,0.371,"ERbest-ratio","ratio",0.273,0.371,0.273,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",9,"Y"
"Pacific Ocean","ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","ISC","ISC","1950-2012",1950,2012,"http://isc.ac.affrc.go.jp/pdf/ISC14pdf/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf","Stock Synthesis v3.0 model","SS3","Stock Synthesis v3.0 model","multinational","North Pacific Ocean","multinational-ISC-NPAC","Albacore tuna North Pacific Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",0,"Current","Japan",61,"data comes from the assessment document",NA,NA,NA,NA,NA,1966,2012,1966,2012,1950,2012,2012,2,2012,2011,"ISC-ALBANPAC-1950-2012-PONS_2012","ISC-ALBANPAC-1950-2012-PONS_2011",669000,661000,"TBbest-MT","MT",669000,661000,669000,661000,NA,NA,110000,111000,NA,NA,0.119880418535127,0.121482602118003,"ERbest-ratio","ratio",0.119880418535127,0.121482602118003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49680,"",NA,NA,"","N",3,"Y"
"Pacific Ocean","ISC-ALBANPAC-1952-2015-PONS","ALBANPAC","ISC","ISC","1952-2015",1952,2015,"NULL","Stock Synthesis v3.0 model","SS3","Stock Synthesis v3.0 model","multinational","North Pacific Ocean","multinational-ISC-NPAC","Albacore tuna North Pacific Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",999,"Current","Japan",61,"NULL",NA,NA,NA,NA,NA,1993,2015,1993,2015,1952,2015,2015,1,2012,2011,"ISC-ALBANPAC-1952-2015-PONS_2012","ISC-ALBANPAC-1952-2015-PONS_2011",895000,899000,"TBbest-MT","MT",895000,899000,895000,899000,NA,NA,73000,81600,NA,NA,0.103798882681564,0.0901001112347052,"ERbest-ratio","ratio",0.103798882681564,0.0901001112347052,NA,NA,0.51,0.5,NA,NA,NA,NA,0.7706,NA,NA,NA,NA,NA,NA,NA,24810.4438,NA,NA,NA,"","N",3,"Y"
"Pacific Ocean","ISC-PACBTUNA-1952-2012-PONS","PACBTUNA","ISC","ISC","1952-2012",1952,2012,"","Stock Synthesis v3.0 model","SS3","Stock Synthesis v3.0 model","multinational","Pacific Ocean","multinational-ISC-PAC","Pacific bluefin tuna Pacific Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus orientalis","Thunnus orientalis","Pacific bluefin tuna",0,"Current","Japan",61,"data taken from the assessment report",NA,NA,"1.6 for age 0, 0.386 for age 1, and 0.25 for age 2 and older fish",NA,NA,1952,2012,1952,2012,1952,2012,2012,2,2012,2011,"ISC-PACBTUNA-1952-2012-PONS_2012","ISC-PACBTUNA-1952-2012-PONS_2011",44800,47400,"TBbest-MT","MT",44800,47400,44800,47400,NA,NA,26300,25200,NA,NA,0.339285714285714,0.371308016877637,"ERbest-ratio","ratio",0.339285714285714,0.371308016877637,NA,NA,NA,NA,0.069,"ERmsy-ratio",NA,NA,0.1171,"",NA,NA,NA,NA,251233.4,"TBmsy-calc-MT",105960,"",NA,NA,"","N",2,"Y"
