"assessid","stockid","country","region","assesssource","method","methodlong","M","M_notes","ty","B_ty","B_type","B_unit","TBbest_ty","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1"
"SEFSC-MENATGM-1948-2011-HIVELY","MENATGM","USA","US Southeast and Gulf","http://www.sefsc.noaa.gov/sedar/download/S32A_GoM_Menhaden_SAR_Final_9.26.2013.pdf?id=DOCUMENT","Statistical catch at age model","Beaufort assessment model","1.22","",2011,50500000000000,"SSB-E00eggs","E00eggs",3400000,3400000,1310000,NA,NA,NA,NA,50500000000000,36400000000000,2.36,3.25
"SEFSC-MENATGM-1948-2017-ASHBROOK","MENATGM","USA","US Southeast and Gulf","http://sedarweb.org/sedar-63","Statistical catch at age model","Beaufort assessment model",NA,NA,2011,3766160000000000,"SSB-E00eggs","E00eggs",NA,NA,NA,191000000000,217000000000,NA,NA,3766160000000000,2642440000000000,0.96,0.99
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","USA","US East Coast","http://www.asmfc.org/species/atlantic-menhaden#stock","Statistical catch at age model","Beaufort assessment model",NA,NA,2005,784000,"TBbest-MT","MT",784000,784000,706000,21300000000,16100000000,NA,NA,56500000000000,55000000000000,0.19515306122449,0.253541076487252
"NMFS-MENATLAN-1940-2005-STANTON","MENATLAN","USA","US East Coast","http://www.asmfc.org/speciesDocuments/menhaden/reports/stockAssessments/2006StockAssessmentReport.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.5","",2005,689000,"TBbest-MT","MT",689000,689000,869000,NA,NA,NA,NA,NA,NA,0.269,0.252
"NEFSC-MONKGOMNGB-1979-2010-SISIMP2016","MONKGOMNGB","USA","US East Coast","","Statistical catch at age model","A statistical catch-at-length model",NA,NA,2009,47300,"TBbest-MT","MT",47300,47300,42300,NA,NA,NA,NA,NA,NA,0.0778012684989429,0.101182033096927
"NEFSC-MONKGOMNGB-1980-2009-HIVELY","MONKGOMNGB","USA","US East Coast","http://www.nefsc.noaa.gov/saw/reports.html","Statistical catch at length model","An AD-Model Builder catch at length model","0.3","",2009,66100,"TBbest-MT","MT",66100,66100,58200,NA,NA,NA,NA,NA,NA,0.0571860816944024,0.0754295532646048
"NEFSC-MONKSGBMATL-1979-2010-SISIMP2016","MONKSGBMATL","USA","US East Coast","","Statistical catch at age model","A statistical catch-at-length model",NA,NA,2009,124000,"TBbest-MT","MT",124000,124000,125000,NA,NA,NA,NA,NA,NA,0.057741935483871,0.0732
"NEFSC-MONKSGBMATL-1980-2009-HIVELY","MONKSGBMATL","USA","US East Coast","http://www.nefsc.noaa.gov/saw/reports.html","Statistical catch at length model","An AD-Model Builder catch at length model","0.3","",2009,131000,"TBbest-MT","MT",131000,131000,131000,NA,NA,NA,NA,NA,NA,0.0466412213740458,0.0616030534351145
"CSIRO-MORWONGESE-1915-2014-MOESENEDER","MORWONGESE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.15","Fem and Male",2014,3930,"TBbest-MT","MT",3930,3930,3870,NA,NA,2700,2710,NA,NA,0.0486,0.0734
"CSIRO-MORWONGESE-1915-2017-MOESENEDER","MORWONGESE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.15","Single Sex",2014,2598.81,"TBbest-MT","MT",2598.81,2598.81,2560.33,NA,NA,1650.8,1657.35,NA,NA,0.07337743,0.1111986
"CSIRO-MORWONGWSE-1986-2014-MOESENEDER","MORWONGWSE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.15","Fem and Male",2014,2250,"TBbest-MT","MT",2250,2250,2180,NA,NA,1700,1620,NA,NA,0.00578,0.0193
"CSIRO-MORWONGWSE-1986-2017-MOESENEDER","MORWONGWSE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.15","Single Sex",2014,1924.7,"TBbest-MT","MT",1924.7,1924.7,1790.61,NA,NA,1306.6,1154.22,NA,NA,0.007024783,0.02481791
"IEO-COB-NEPHMEDGSA5-1986-2011-BANOBI","NEPHMEDGSA5","multinational","Mediterranean-Black Sea","http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html","VPA","Extended Survivor Analysis",NA,NA,2011,48.5,"SSB-MT","MT",100,100,99.9,NA,NA,48.5,47.6,NA,NA,0.597,0.389
"STECF-NEPHMEDGSA5-2002-2013-OSIO","NEPHMEDGSA5","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/931950/2015-04_STECF+15-06+-+Med+stock+assessments+-+part+2_JRC95822.pdf","VPA","Extended Survivor Analysis",NA,NA,2011,47.2,"SSB-MT","MT",NA,NA,NA,NA,NA,47.2,45.5,NA,NA,0.691,0.392
"STECF-NEPHMEDGSA9-2005-2015-OSIO","NEPHMEDGSA9","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/1567060/2017-04_STECF+17-06+-+MED+assessments+2016+-+part+2.pdf","VPA","Extended Survivor Analysis",NA,NA,2013,190,"SSB-MT","MT",518,518,587,NA,NA,190,216,NA,NA,0.521,0.543
"STECF-NEPHMEDGSA9-2006-2013-OSIO","NEPHMEDGSA9","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/823106/2014-12_STECF+14-17+-+Med+stock+assessments+-+part+1_JRC93120.pdf","VPA","Extended Survivor Analysis",NA,NA,2013,355,"SSB-MT","MT",NA,NA,NA,NA,NA,355,430,NA,NA,0.426,0.417
"WGNSSK-NPOUTIIIa-IV-1983-2011-NEUBAUER","NPOUTIIIa-IV","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2005%20Norway%20Pout%20in%20Subarea%20IV%20and%20Division%20IIIa.pdf","VPA","Seasonal XSA",NA,NA,2010,289000,"SSB-MT","MT",NA,NA,NA,NA,NA,289000,176000,NA,NA,0.189,0.136
"WGNSSK-NPOUTIIIa-IV-1983-2013-ICESIMP2016","NPOUTIIIa-IV","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/nop-34%20june.pdf","Unknown","Unknown",NA,NA,2010,356000,"SSB-MT","MT",819000,819000,882000,NA,NA,356000,219000,NA,NA,0.153846153846154,0.0617913832199547
"WGNSSK-NPOUTIIIa-IV-1983-2014-ICESIMP2016","NPOUTIIIa-IV","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/Nop-34-june.pdf","Unknown","Unknown",NA,NA,2010,358000,"SSB-MT","MT",821000,821000,886000,NA,NA,358000,219000,NA,NA,0.15347137637028,0.0615124153498871
"WGNSSK-NPOUTIIIa-IV-1984-2017-ICESIMP2018","NPOUTIIIa-IV","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/nop.27.3a4.pdf","Unknown","Unknown",NA,NA,2010,219000,"SSB-MT","MT",551000,551000,391000,NA,NA,219000,133000,NA,NA,0.237749546279492,0.117135549872123
"AFSC-NROCKBSAI-1974-2011-STACHURA","NROCKBSAI","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/BSAInorthern.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.0427","",2009,202000,"TBbest-MT","MT",202000,202000,202000,NA,NA,70800,69300,NA,NA,0.0154,0.0163
"AFSC-NROCKBSAI-1977-2015-SISIMP2016","NROCKBSAI","USA","US Alaska","","Unknown","Unknown",NA,NA,2009,236000,"TBbest-MT","MT",236000,236000,239000,NA,NA,106000,108000,NA,NA,0.0131779661016949,0.013765690376569
"AFSC-NROCKGA-1959-2010-STACHURA","NROCKGA","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/GOAnorthern.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.06","estimated; used a prior of 0.06 with CV of 5%",2010,103000,"TBbest-MT","MT",103000,103000,107000,NA,NA,34800,36900,NA,NA,0.0346,0.0368
"AFSC-NROCKGA-1961-2015-SISIMP2016","NROCKGA","USA","US Alaska","","Unknown","Unknown",NA,NA,2010,111000,"TBbest-MT","MT",111000,111000,118000,NA,NA,49400,50900,NA,NA,0.035045045045045,0.0333898305084746
"AFSC-NRSOLEEBSAI-1975-2012-HIVELY","NRSOLEEBSAI","USA","US Alaska","http://www.afsc.noaa.gov/Publications/assessments.htm","Survey index","Temporal indices derived from scientific survey data","0.18","",2012,1630000,"TBbest-MT","MT",1630000,1630000,1650000,NA,NA,604000,564000,NA,NA,0.0456441717791411,0.0366060606060606
"AFSC-NRSOLEEBSAI-1975-2015-SISIMP2016","NRSOLEEBSAI","USA","US Alaska","","Unknown","Unknown",NA,NA,2012,1530000,"TBbest-MT","MT",1530000,1530000,1580000,NA,NA,588000,547000,NA,NA,0.0497385620915033,0.0382278481012658
"FAFRFJ-OFLOUNECS-1975-2013-JPNIMP2016","OFLOUNECS","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2558.pdf","Unknown","Unknown","0.208","",2010,3490,"TBbest-MT","MT",3490,3490,3490,NA,NA,2610,2630,NA,NA,0.372492836676218,0.3810888252149
"FAFRFJ-OFLOUNECS-1986-2010-ONO","OFLOUNECS","Japan","Japan","NULL","VPA","Virtual Population Analysis","0.31","",2010,3410,"TBbest-MT","MT",3410,3410,3330,NA,NA,2390,2450,NA,NA,0.394,0.4
"FAFRFJ-OFLOUNNSJ-1970-2013-JPNIMP2016","OFLOUNNSJ","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2557.pdf","Unknown","Unknown","0.2","",2010,2530,"TBbest-MT","MT",2530,2530,2490,NA,NA,1620,1580,NA,NA,0.466403162055336,0.429718875502008
"FAFRFJ-OFLOUNNSJ-1999-2010-ONO","OFLOUNNSJ","Japan","Japan","NULL","VPA","Virtual Population Analysis","0.2","",2010,2600,"TBbest-MT","MT",2600,2600,2610,NA,NA,1780,1660,NA,NA,0.453,0.409
"FAFRFJ-OFLOUNPAC-1970-2013-JPNIMP2016","OFLOUNPAC","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2555.pdf","Unknown","Unknown","0.21","sex specific (female=0.21, male=0.25)",2009,4420,"TBbest-MT","MT",4420,4420,4250,NA,NA,843,1040,NA,NA,0.509049773755656,0.505882352941176
"FAFRFJ-OFLOUNPAC-1990-2009-ONO","OFLOUNPAC","Japan","Japan","NULL","VPA","Virtual Population Analysis","0.21","",2009,6280,"TBbest-MT","MT",6280,6280,6100,NA,NA,NA,NA,NA,NA,0.525,0.339
"FAFRFJ-OFLOUNSETO-1965-2013-JPNIMP2016","OFLOUNSETO","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2556.pdf","Unknown","Unknown","0.31","",2010,2180,"TBbest-MT","MT",2180,2180,2220,NA,NA,1370,1370,NA,NA,0.344495412844037,0.337837837837838
"FAFRFJ-OFLOUNSETO-1987-2010-ONO","OFLOUNSETO","Japan","Japan","NULL","VPA","Virtual Population Analysis","0.31","",2010,1950,"TBbest-MT","MT",1950,1950,2210,NA,NA,1220,1320,NA,NA,0.389,0.339
"CSIRO-OROUGHYSE-1978-2007-FULTON","OROUGHYSE","Australia","Australia","Received from CSIRO assessment team","Integrated Analysis","Stock Synthesis v2.0 model",NA,NA,2006,75400,"TBbest-MT","MT",75400,75400,73900,NA,NA,3890,3600,NA,NA,0.093,0.101
"CSIRO-OROUGHYSE-1980-2013-MOESENEDER","OROUGHYSE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.04","Fem and Male",2006,69600,"TBbest-MT","MT",69600,69600,68200,NA,NA,4790,4480,NA,NA,0.00884,0.0113
"ISC-PACBTUNA-1952-2012-PONS","PACBTUNA","multinational","Pacific Ocean","http://isc.ac.affrc.go.jp/pdf/2014_Intercessional/Annex4_Pacific%20Bluefin%20Assmt%20Report%202014-%20June1-Final-Posting.pdf","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2012,44800,"TBbest-MT","MT",44800,44800,47400,NA,NA,26300,25200,NA,NA,0.339285714285714,0.371308016877637
"ISC-PACBTUNA-1952-2014-PONS","PACBTUNA","multinational","Pacific Ocean","http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_09_2016_Pacific_Bluefin_Tuna_Stock_Assessment.pdf","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2012,34900,"TBbest-MT","MT",34900,34900,32800,NA,NA,13800,11900,NA,NA,0.435530085959885,0.536585365853659
"IMARPE-PANCHPERUNC-1959-2008-HIVELY","PANCHPERUNC","Peru","South America","NULL","Unknown","Unknown",NA,NA,2008,8800000,"TBbest-MT","MT",8800000,8800000,8180000,NA,NA,6590000,3650000,NA,NA,0.693,0.746
"IMARPE-PANCHPERUNC-1959-2016-HILBORN","PANCHPERUNC","Peru","South America","NULL","Unknown","Unknown",NA,NA,2008,11800000,"TBbest-MT","MT",11800000,11800000,10100000,NA,NA,NA,NA,NA,NA,0.446610169491525,0.510891089108911
"IFOPCH-PATGRENADIERCH-1977-2012-CHING","PATGRENADIERCH","Chile","South America","NULL","Unknown","Unknown",NA,NA,2012,397000,"TBbest-MT","MT",397000,397000,385000,NA,NA,184000,170000,NA,NA,0.143,0.181
"IFOPCH-PATGRENADIERCH-1977-2015-PAYA","PATGRENADIERCH","Chile","South America","https://www.researchgate.net/publication/290391145_Informe_de_Estatus_Estatus_y_posibilidades_de_explotacion_biologicamente_sustentables_de_los_principales_recursos_pesqueros_nacionales_al_ano_2016_Merluza_de_Cola","Statistical catch at age model","Unknown statistical catch-at-age model","0.35","",2012,338000,"TBbest-MT","MT",338000,338000,322000,NA,NA,131000,135000,NA,NA,0.27,0.26
"INIDEP-PATGRENADIERSARG-1983-2015-PARMA","PATGRENADIERSARG","Argentina","South America","URL","Statistical catch at age model","Unknown statistical catch-at-age model","0.35","",2006,873000,"TBbest-MT","MT",873000,873000,897000,NA,NA,430000,426000,NA,NA,0.192439862542955,0.156075808249721
"NIWA-PAUANPAU5A-1965-2010-CORDUE","PAUANPAU5A","New Zealand","New Zealand","https://fs.fish.govt.nz/Doc/22424/10_46_FAR.pdf.ashx","Integrated Analysis","Custom length-based Bayesian Model","0.18","",2010,400,"SSB-MT","MT",NA,NA,NA,NA,NA,400,413,NA,NA,0.0808,0.0631
"NIWA-PAUANPAU5A-1965-2014-FU","PAUANPAU5A","New Zealand","New Zealand","http://fs.fish.govt.nz/Doc/23967/FAR_2015_65_PAUA5A_North.pdf.ashx","Integrated Analysis","Custom length-based Bayesian Model","0.15","",2010,564,"SSB-MT","MT",NA,NA,NA,NA,NA,564,564,NA,NA,0.19,0.15
"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN","PAUAPAU5B","New Zealand","New Zealand","received from contact","Integrated Analysis","Custom length-based Bayesian Model",NA,NA,2007,1490,"SSB-MT","MT",1570,1570,1560,NA,NA,1490,1490,NA,NA,0.0927,0.0987
"NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU","PAUAPAU5B","New Zealand","New Zealand","http://fs.fish.govt.nz/Doc/23677/FAR_2014_45_2791_PAU2013-04%20(Obj.%201,%20MS6)%20Part%201.pdf.ashx","Integrated Analysis","Custom length-based Bayesian Model","0.15","",2007,1200,"SSB-MT","MT",NA,NA,NA,NA,NA,1200,1120,NA,NA,0.12,0.13
"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN","PAUAPAU5D","New Zealand","New Zealand","received from contact","Integrated Analysis","Custom length-based Bayesian Model",NA,NA,2006,373,"SSB-MT","MT",400,400,396,NA,NA,373,371,NA,NA,0.636,0.452
"NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU","PAUAPAU5D","New Zealand","New Zealand","http://fs.fish.govt.nz/Doc/23417/FAR_2013_57_2680_PAU2008-02_Obj4_MS16_RR1.pdf.ashx","Integrated Analysis","Custom length-based Bayesian Model","0.15","",2006,726,"SSB-MT","MT",NA,NA,NA,NA,NA,726,696,NA,NA,0.27,0.24
"NIWA-PAUAPAU7-1965-2011-CORDUE","PAUAPAU7","New Zealand","New Zealand","MISSING","Integrated Analysis","Custom length-based Bayesian Model","0.14","",2011,877,"SSB-MT","MT",NA,NA,NA,NA,NA,877,868,NA,NA,0.099,0.101
"NIWA-PAUAPAU7-1965-2015-FU","PAUAPAU7","New Zealand","New Zealand","MISSING","Integrated Analysis","Custom length-based Bayesian Model","0.11","",2011,741,"SSB-MT","MT",NA,NA,NA,NA,NA,741,773,NA,NA,0.55,0.54
"NIWA-PAUASPAU5A-1965-2009-CORDUE","PAUASPAU5A","New Zealand","New Zealand","https://fs.fish.govt.nz/Doc/22328/10_36_FAR.pdf.ashx","Integrated Analysis","Custom length-based Bayesian Model","0.12","",2009,384,"SSB-MT","MT",NA,NA,NA,NA,NA,384,379,NA,NA,0.06,0.0479
"NIWA-PAUASPAU5A-1965-2014-FU","PAUASPAU5A","New Zealand","New Zealand","http://fs.fish.govt.nz/Doc/23966/FAR_2015_64_PAU5A_South.pdf.ashx","Integrated Analysis","Custom length-based Bayesian Model","0.11","",2009,524,"SSB-MT","MT",NA,NA,NA,NA,NA,524,504,NA,NA,0.15,0.12
"AFSC-PCODGA-1977-2014-HIVELY","PCODGA","USA","US Alaska","http://www.afsc.noaa.gov/REFM/Docs/2013/GOApcod.pdf","Integrated Analysis","Stock Synthesis v3.0 model","0.38","",2010,81800,"SSB-MT","MT",NA,NA,NA,NA,NA,81800,73200,NA,NA,0.379,0.291
"AFSC-PCODGA-1977-2015-SISIMP2016","PCODGA","USA","US Alaska","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2010,168000,"SSB-MT","MT",646000,646000,565000,NA,NA,168000,152000,NA,NA,0.153,0.119
"DFO-PAC-PCODHS-1944-2014-OSGOOD","PCODHS","Canada","Canada West Coast","http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2015/2015_052-eng.pdf","Biomass dynamics model","Delay difference model","0.393","Estimated in log space; Maximum posterior density estimate from posterior",2004,10700,"TBbest-MT","MT",10700,10700,10200,NA,NA,NA,NA,NA,NA,0.0520560747663551,0.0449019607843137
"DFO-PAC-PCODHS-1956-2005-COLLIE","PCODHS","Canada","Canada West Coast","http://www.pac.dfo-mpo.gc.ca/sci/psarc/ResDocs/groundfish05_e.htm","Biomass dynamics model","Delay difference model","0.567","",2004,9600,"TBbest-MT","MT",9600,9600,7360,5560000,5730000,NA,NA,NA,NA,0.0417,0.0617
"AFSC-PERCHEBSAI-1960-2011-STACHURA","PERCHEBSAI","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/BSAIpop.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.062","",2009,613000,"TBbest-MT","MT",613000,613000,618000,NA,NA,227000,223000,NA,NA,0.0251,0.0282
"AFSC-PERCHEBSAI-1960-2015-SISIMP2016","PERCHEBSAI","USA","US Alaska","","Unknown","Unknown",NA,NA,2009,656000,"TBbest-MT","MT",656000,656000,658000,NA,NA,254000,246000,NA,NA,0.0233231707317073,0.0264437689969605
"NWFSC-PHAKEPCOAST-1966-2015-HIVELY","PHAKEPCOAST","USA","US West Coast","http://www.pcouncil.org/groundfish/stock-assessments/by-species/pacific-whiting-hake/","Integrated Analysis","Stock Synthesis v3.0 model","0.22","",2014,1700000,"SSB-MT","MT",NA,NA,NA,NA,NA,1700000,1550000,NA,NA,0.081,0.074
"PFMC-PHAKEPCOAST-1966-2016-WATSON","PHAKEPCOAST","USA","US West Coast","http://www.westcoast.fisheries.noaa.gov/publications/fishery_management/groundfish/whiting/pacific_whiting_status_2016-final.pdf","Integrated Analysis","Stock Synthesis v3.0 model","0.226","",2014,1590000,"SSB-MT","MT",NA,NA,NA,NA,NA,1590000,1460000,NA,NA,0.085,0.077
"FAFRFJ-PILCHPJPN-1975-2013-JPNIMP2016","PILCHPJPN","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2501.pdf","Unknown","Unknown","0.4","",2009,134000,"TBbest-MT","MT",134000,134000,101000,NA,NA,60600,28300,NA,NA,0.367164179104478,0.266336633663366
"FAFRFJ-PILCHPJPN-1976-2009-ONO","PILCHPJPN","Japan","Japan","http://abchan.job.affrc.go.jp/digests22/details/2201.pdf","VPA","Virtual Population Analysis","0.4","",2009,202000,"TBbest-MT","MT",202000,202000,118000,NA,NA,72000,26000,NA,NA,0.234,0.229
"FAFRFJ-PILCHTSST-1960-2010-ONO","PILCHTSST","Japan","Japan","http://abchan.job.affrc.go.jp/digests23/details/2302.pdf","VPA","Virtual Population Analysis",NA,NA,2010,34200,"TBbest-MT","MT",34200,34200,20500,NA,NA,10200,8600,NA,NA,0.164,0.4
"FAFRFJ-PILCHTSST-1960-2013-JPNIMP2016","PILCHTSST","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2502.pdf","Unknown","Unknown","0.4","",2010,133000,"TBbest-MT","MT",133000,133000,61400,NA,NA,49000,33700,NA,NA,0.0419548872180451,0.133224755700326
"SEFSC-PINKSHRIMPGM-1984-2011-HIVELY","PINKSHRIMPGM","USA","US Southeast and Gulf","NULL","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2011,23900,"SSB-MT","MT",NA,NA,NA,NA,NA,23900,46300,NA,NA,0.02,0.0329
"SEFSC-PINKSHRIMPGM-1984-2013-SISIMP2016","PINKSHRIMPGM","USA","US Southeast and Gulf","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2011,41100,"SSB-MT","MT",NA,NA,NA,NA,NA,41100,49900,NA,NA,0.165,0.172
"WGBFAS-PLAIC2123-1998-2015-ICESIMP2016","PLAIC2123","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ple-2123.pdf","Unknown","Unknown",NA,NA,2013,15700,"TBbest-MT","MT",15700,15700,12900,NA,NA,12200,9480,NA,NA,0.228662420382166,0.248062015503876
"WGBFAS-PLAIC2123-1998-2016-ICESIMP2016","PLAIC2123","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/ple-2123.pdf","Unknown","Unknown",NA,NA,2013,14000,"TBbest-MT","MT",14000,14000,11200,NA,NA,10600,8050,NA,NA,0.256428571428571,0.285714285714286
"WGBFAS-PLAIC2123-1998-2017-ICESIMP2018","PLAIC2123","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ple.27.21-23.pdf","Unknown","Unknown",NA,NA,2013,11300,"TBbest-MT","MT",11300,11300,9370,NA,NA,8220,6480,NA,NA,0.317699115044248,0.341515474919957
"WGBFAS-PLAIC2123-1998-2018-ICESIMP2018","PLAIC2123","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2013,10500,"TBbest-MT","MT",10500,10500,8640,NA,NA,7660,5980,NA,NA,0.341904761904762,0.37037037037037
"WGNSSK-PLAIC7d-1979-2010-NEUBAUER","PLAIC7d","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2006%20Plaice%20in%20Division%20VIId.pdf","VPA","Extended Survivor Analysis","0.1","",2010,3950,"SSB-MT","MT",9230,9230,6410,NA,NA,3950,3560,NA,NA,0.463,0.644
"WGNSSK-PLAIC7d-1979-2015-ICESIMP2016","PLAIC7d","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ple-eche.pdf","Unknown","Unknown",NA,NA,2010,19700,"SSB-MT","MT",NA,NA,NA,NA,NA,19700,16100,NA,NA,0.164,0.217
"WGNSSK-PLAIC7d-1979-2016-ICESIMP2016","PLAIC7d","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/ple-eche.pdf","Unknown","Unknown",NA,NA,2010,17300,"SSB-MT","MT",NA,NA,NA,NA,NA,17300,14400,NA,NA,0.206,0.246
"WGNSSK-PLAIC7d-1979-2017-ICESIMP2018","PLAIC7d","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ple.27.7d.pdf","Unknown","Unknown",NA,NA,2010,17300,"SSB-MT","MT",NA,NA,NA,NA,NA,17300,14500,NA,NA,0.196,0.242
"WGNSSK-PLAIC7d-1979-2018-ICESIMP2018","PLAIC7d","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,17300,"SSB-MT","MT",NA,NA,NA,NA,NA,17300,14600,NA,NA,0.199,0.246
"WGCSE-PLAICECHW-1979-2013-ICESIMP2016","PLAICECHW","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/ple-echw.pdf","Unknown","Unknown",NA,NA,2010,5650,"TBbest-MT","MT",5650,5650,3130,NA,NA,2300,1770,NA,NA,0.219469026548673,0.34185303514377
"WGCSE-PLAICECHW-1979-2014-ICESIMP2016","PLAICECHW","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/ple-echw.pdf","Unknown","Unknown",NA,NA,2010,6130,"TBbest-MT","MT",6130,6130,3360,NA,NA,2540,1900,NA,NA,0.202283849918434,0.318452380952381
"WGSSDS-PLAICECHW-1979-2010-NEUBAUER","PLAICECHW","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGCSE/08.2_Plaice%20VIIe.pdf","VPA","Extended Survivor Analysis","0.12","",2010,7720,"TBbest-MT","MT",7720,7720,3410,NA,NA,2630,1870,NA,NA,0.159,0.312
"WGCSE-PLAICIS-1980-2017-ICESIMP2018","PLAICIS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ple.27.7a.pdf","Unknown","Unknown",NA,NA,2010,9080,"SSB-MT","MT",13900,13900,12400,NA,NA,9080,9100,NA,NA,0.211510791366906,0.128225806451613
"WGCSE-PLAICIS-1980-2018-ICESIMP2018","PLAICIS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,9010,"SSB-MT","MT",13800,13800,12300,NA,NA,9010,9070,NA,NA,0.21304347826087,0.129268292682927
"WGNSDS-PLAICIS-1992-2010-NEUBAUER","PLAICIS","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGCSE/06.7_Plaice%20VIIa.pdf","Statistical catch at age model","Statistical catch-at-age model","0.12","",2010,24100,"SSB-MT","MT",NA,NA,NA,NA,NA,24100,24000,NA,NA,0.0522,0.0305
"WGNSSK-PLAICNS-1956-2010-NEUBAUER","PLAICNS","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2008%20Plaice%20in%20Subarea%20IV.pdf","VPA","Extended Survivor Analysis","0.1","",2010,461000,"SSB-MT","MT",NA,NA,NA,NA,NA,461000,386000,NA,NA,0.24,0.23
"WGNSSK-PLAICNS-1956-2013-ICESIMP2016","PLAICNS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/ple-nsea.pdf","Unknown","Unknown",NA,NA,2010,500000,"SSB-MT","MT",667000,667000,565000,NA,NA,500000,401000,NA,NA,0.207,0.22
"WGNSSK-PLAICNS-1956-2014-ICESIMP2016","PLAICNS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/ple-nsea.pdf","Unknown","Unknown",NA,NA,2010,465000,"SSB-MT","MT",NA,NA,NA,NA,NA,465000,374000,NA,NA,0.22,0.24
"WGNSSK-PLAICNS-1956-2015-ICESIMP2016","PLAICNS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ple-nsea.pdf","Unknown","Unknown",NA,NA,2010,552000,"SSB-MT","MT",NA,NA,NA,NA,NA,552000,449000,NA,NA,0.21,0.22
