assessid,stockid,country,region,assesssource,method,methodlong,M,M_notes,ty,B_ty,B_type,B_unit,F_ty,F_type,F_unit,ERmsybest,ERmsybest_notes,Fmsy,Fmsy_notes,TBmsybest,TBmsybest_notes,SSBmsy,SSBmsy_notes,FECmsy,FECmsy_notes,OFL_pdf,OFL_pdf_notes,F_ABC,F_ABC_notes,ABC_pdf,ABC_pdf_notes,if_B_match,comments
NWWG-HERRIsum-1984-2013-ICESIMP2016,HERRIsum,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-vasu.pdf,VPA,VPA/ADPAT version 2.3.2 NOAA Fisheries,0.1,NA,2010,661000,TBbest-MT,MT,0.114,F-1/yr,1/yr,NA,NA,0.22,,NA,NA,300000,Bpa,,,,,,,,,,
NWWG-HERRIsum-1984-2014-ICESIMP2016,HERRIsum,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-vasu.pdf,VPA,VPA/ADPAT version 2.3.2 NOAA Fisheries,0.1,NA,2010,734000,TBbest-MT,MT,0.0998,F-1/yr,1/yr,NA,NA,0.22,,NA,NA,300000,Bpa,,,,,,,,,,
NWWG-HERRIsum-1987-2015-ICESIMP2016,HERRIsum,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-vasu.pdf,VPA,VPA/ADPAT version 2.3.2 NOAA Fisheries,0.1,NA,2010,745000,TBbest-MT,MT,0.0999,F-1/yr,1/yr,NA,NA,0.22,,NA,NA,300000,Bpa,,,,,,,,,,
HAWG-HERRNIRS-1960-2010-NEUBAUER,HERRNIRS,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2007%20Herring%20in%20Division%20VIIa%20North%20(Irish%20Sea).pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,31400,TBbest-MT,MT,0.156,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
HAWG-HERRNIRS-1960-2013-ICESIMP2016,HERRNIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-nirs.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,29300,TBbest-MT,MT,0.166894198,ERbest-ratio,ratio,NA,NA,0.26,,NA,NA,9500,Bpa,,,,,,,,,,
HAWG-HERRNIRS-1960-2014-ICESIMP2016,HERRNIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-nirs.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,46400,TBbest-MT,MT,0.105387931,ERbest-ratio,ratio,NA,NA,0.26,,NA,NA,9500,Bpa,,,,,,,,,,
HAWG-HERRNIRS-1960-2015-ICESIMP2016,HERRNIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-nirs.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,46800,TBbest-MT,MT,0.104487179,ERbest-ratio,ratio,NA,NA,0.26,,NA,NA,9500,Bpa,,,,,,,,,,
HAWG-HERRNIRS-1960-2016-ICESIMP2016,HERRNIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-nirs.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,42400,TBbest-MT,MT,0.115330189,ERbest-ratio,ratio,NA,NA,0.26,,NA,NA,9500,Bpa,,,,,,,,,,
HAWG-HERRNIRS-1979-2017-ICESIMP2018,HERRNIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.nirs.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,58100,TBbest-MT,MT,0.084165232,ERbest-ratio,ratio,NA,NA,0.266,,NA,NA,11831,Bpa,,,,,,,,,,
HAWG-HERRNIRS-1979-2018-ICESIMP2018,HERRNIRS,multinational,Europe (EU),,Statistical catch at age model,Integrated Catch-at-age Analysis,NA,NA,2010,61500,TBbest-MT,MT,0.079512195,ERbest-ratio,ratio,NA,NA,0.266,,NA,NA,11831,Bpa,,,,,,,,,,
WGWIDE-HERRNORSS-1950-2014-ICESIMP2016,HERRNORSS,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-noss.pdf,Age-based analytical (TASACS),Age-based analytical (TASACS),NA,"age 2 = 0.9, ages greater than 3 = 0.15 ",2012,6300000,TBbest-MT,MT,0.131111111,ERbest-ratio,ratio,NA,NA,0.15,NA,NA,NA,5000000,Bpa,,,,,,,,,,
WGWIDE-HERRNORSS-1986-2016-ICESIMP2018,HERRNORSS,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-noss.pdf,Statistical assessment model (XSAM),Statistical assessment model (XSAM),NA,"age 2 = 0.9, ages greater than 3 = 0.15 ",2012,7490000,TBbest-MT,MT,0.110280374,ERbest-ratio,ratio,NA,NA,0.15,,NA,NA,5000000,Bpa,,,,,,,,,,
WGWIDE-HERRNORSS-1986-2017-ICESIMP2018,HERRNORSS,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.1-24a514a.pdf,Statistical assessment model (XSAM),Statistical assessment model (XSAM),NA,"age 2 = 0.9, ages greater than 3 = 0.15 ",2012,6770000,TBbest-MT,MT,0.122008863,ERbest-ratio,ratio,NA,NA,0.15,,NA,NA,5000000,Bpa,,,,,,,,,,
WGWIDE-HERRNORSS-1988-2013-ICESIMP2016,HERRNORSS,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-noss.pdf,Age-based analytical (TASACS),Age-based analytical (TASACS),NA,"age 2 = 0.9, ages greater than 3 = 0.15 ",2012,6540000,TBbest-MT,MT,0.126299694,ERbest-ratio,ratio,NA,NA,0.15,NA,NA,NA,5000000,Bpa,,,,,,,,,,
WGWIDE-HERRNORSS-1988-2015-ICESIMP2016,HERRNORSS,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-noss.pdf,Age-based analytical (TASACS),Age-based analytical (TASACS),NA,"age 2 = 0.9, ages greater than 3 = 0.15 ",2012,6700000,TBbest-MT,MT,0.123283582,ERbest-ratio,ratio,NA,NA,0.15,NA,NA,NA,5000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1947-2013-ICESIMP2016,HERRNS-IIIa-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-47d3.pdf,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,3930000,TBbest-MT,MT,0.049363868,ERbest-ratio,ratio,NA,NA,0.27,Fmsy,NA,NA,1000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1947-2014-ICESIMP2016,HERRNS-IIIa-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-47d3.pdf,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,4080000,TBbest-MT,MT,0.046078431,ERbest-ratio,ratio,NA,NA,0.27,Fmsy,NA,NA,1000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1947-2015-ICESIMP2016,HERRNS-IIIa-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-47d3.pdf,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,4160000,TBbest-MT,MT,0.045192308,ERbest-ratio,ratio,NA,NA,0.27,Fmsy,NA,NA,1000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1947-2016-ICESIMP2016,HERRNS-IIIa-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-47d3.pdf,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,3610000,TBbest-MT,MT,0.052077562,ERbest-ratio,ratio,NA,NA,0.33,Fmsy,NA,NA,1000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1947-2017-ICESIMP2018,HERRNS-IIIa-VIId,multinational,Europe (EU),,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,3670000,TBbest-MT,MT,0.051226158,ERbest-ratio,ratio,NA,NA,0.33,Fmsy,NA,NA,1000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1947-2018-ICESIMP2018,HERRNS-IIIa-VIId,multinational,Europe (EU),,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,4420000,TBbest-MT,MT,0.042533937,ERbest-ratio,ratio,NA,NA,0.26,Fmsy,NA,NA,1000000,Bpa,,,,,,,,,,
HAWG-HERRNS-IIIa-VIId-1960-2011-NEUBAUER,HERRNS-IIIa-VIId,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2002%20North%20Sea%20Herring.pdf,Age-based analytical model (SAM),Age-based analytical model (SAM),NA,natural mortalities from SMS North Sea multispecies model ,2010,2860000,TBbest-MT,MT,0.0656,ERbest-ratio,ratio,NA,NA,0.25,"Simulations under different productivity regimes, research between 1996 and 2010.",NA,NA,1000000,Bpa,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2011-NEUBAUER,HERRRIGA,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.4%20Herring%20in%20Subdivision%2030.pdf,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,119000,TBbest-MT,MT,0.253,ERbest-ratio,ratio,NA,NA,0.35,"WKMAMPEL (ICES, 2009) based on stochastic simulations",NA,NA,60000,MSY Btrigger,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2013-ICESIMP2016,HERRRIGA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/her-riga_201304142205.pdf,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,134000,TBbest-MT,MT,0.225373134,ERbest-ratio,ratio,NA,NA,0.35,"WKMAMPEL (ICES, 2009) based on stochastic simulations",NA,NA,60000,MSY Btrigger,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2014-ICESIMP2016,HERRRIGA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-riga.pdf,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,134000,TBbest-MT,MT,0.225373134,ERbest-ratio,ratio,NA,NA,0.35,"WKMAMPEL (ICES, 2009) based on stochastic simulations",NA,NA,60000,MSY Btrigger,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2015-ICESIMP2016,HERRRIGA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-riga.pdf,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,132000,TBbest-MT,MT,0.228787879,ERbest-ratio,ratio,NA,NA,0.32,,NA,NA,60000,MSY Btrigger,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2016-ICESIMP2016,HERRRIGA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-riga.pdf,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,138000,TBbest-MT,MT,0.21884058,ERbest-ratio,ratio,NA,NA,0.32,,NA,NA,60000,MSY Btrigger,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2017-ICESIMP2018,HERRRIGA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.28.pdf,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,138000,TBbest-MT,MT,0.21884058,ERbest-ratio,ratio,NA,NA,0.32,,NA,NA,60000,MSY Btrigger,,,,,,,,,,
WGBFAS-HERRRIGA-1976-2018-ICESIMP2018,HERRRIGA,multinational,Europe (EU),,VPA,Extended Survivor Analysis,0.2,except for the period 1979-1983 when a value of M=0.25 is used.,2010,140000,TBbest-MT,MT,0.215714286,ERbest-ratio,ratio,NA,NA,0.32,,NA,NA,60000,MSY Btrigger,,,,,,,,,,
HAWG-HERRSIRS-1957-2010-NEUBAUER,HERRSIRS,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf,Age-based analytical assessment (FLICA),Age-based analytical assessment (FLICA),NA,assumed to be constant,2010,168000,TBbest-MT,MT,0.0845,F-1/yr,1/yr,NA,NA,0.25,Stochastic simulations on segmented regression stock recruit relationship.,NA,NA,61000,Stochastic simulations on segmented regression stockÐrecruitment relationship ,,,,,,,,,,
HAWG-HERRSIRS-1957-2012-ICESIMP2016,HERRSIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irls.pdf,Age-based analytical assessment (FLICA),Age-based analytical assessment (FLICA),NA,assumed to be constant,2010,135000,TBbest-MT,MT,0.134,F-1/yr,1/yr,NA,NA,0.25,,NA,NA,61000,Stochastic simulations on segmented regression stockÐrecruitment relationship ,,,,,,,,,,
HAWG-HERRSIRS-1957-2013-ICESIMP2016,HERRSIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irls.pdf,Age-based analytical assessment (FLICA),Age-based analytical assessment (FLICA),NA,assumed to be constant,2010,187000,TBbest-MT,MT,0.104,F-1/yr,1/yr,NA,NA,0.25,,NA,NA,61000,Stochastic simulations on segmented regression stockÐrecruitment relationship ,,,,,,,,,,
HAWG-HERRSIRS-1957-2016-ICESIMP2016,HERRSIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-irls.pdf,Age-based analytical assessment (ASAP),Age-based analytical assessment (ASAP),NA,assumed to be constant,2010,228000,TBbest-MT,MT,0.074,F-1/yr,1/yr,NA,NA,0.26,,NA,NA,54000,Bpa,,,,,,,,,,
HAWG-HERRSIRS-1957-2017-ICESIMP2018,HERRSIRS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.irls.pdf,Age-based analytical assessment (ASAP),Age-based analytical assessment (ASAP),NA,assumed to be constant,2010,199000,TBbest-MT,MT,0.0848,F-1/yr,1/yr,NA,NA,0.26,,NA,NA,54000,Bpa,,,,,,,,,,
HAWG-HERRSIRS-1957-2018-ICESIMP2018,HERRSIRS,multinational,Europe (EU),,Age-based analytical assessment (ASAP),Age-based analytical assessment (ASAP),NA,assumed to be constant,2010,195000,TBbest-MT,MT,0.0815,F-1/yr,1/yr,NA,NA,0.26,,NA,NA,54000,Bpa,,,,,,,,,,
HAWG-HERRVIa-1956-2010-NEUBAUER,HERRVIa,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2005%20Herring%20in%20Division%20VIa%20(North).pdf,Age-based analytical (FLICA),Age-based analytical (FLICA),NA,NA,2010,775000,TBbest-MT,MT,0.0256,ERbest-ratio,ratio,NA,NA,0.25,"Simulations under different productivity regimes (Simmonds and Keltz, 2007). HAWG 2010.",NA,NA,50000,Blim,,,,,,,,,,
HAWG-HERRVIa-1956-2013-ICESIMP2016,HERRVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-vian.pdf,Age-based analytical (FLICA),Age-based analytical (FLICA),NA,NA,2010,168000,TBbest-MT,MT,0.118452381,ERbest-ratio,ratio,NA,NA,0.25,NA,NA,NA,50000,Blim,,,,,,,,,,
HAWG-HERRVIa-1956-2014-ICESIMP2016,HERRVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-vian.pdf,Age-based analytical (FLICA),Age-based analytical (FLICA),NA,NA,2010,164000,TBbest-MT,MT,0.121341463,ERbest-ratio,ratio,NA,NA,0.25,NA,NA,NA,50000,Blim,,,,,,,,,,
HAWG-HERRVIaVIIbc-1956-2013-ICESIMP2016,HERRVIaVIIbc,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irlw.pdf,Age-based analytical (FLICA),Age-based analytical (FLICA),NA,NA,2010,74000,TBbest-MT,MT,0.137837838,ERbest-ratio,ratio,NA,NA,0.25,NA,NA,NA,110000,Bpa,,,,,,,,,,
HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016,HERRVIaVIIbc,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-67bc.pdf,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),NA,updated with corrected natural mortalities by ICES  (2015),2010,694000,TBbest-MT,MT,0.043371758,ERbest-ratio,ratio,NA,NA,0.16,,NA,NA,410000,Bpa,,,,,,,,,,
HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016,HERRVIaVIIbc,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-67bc.pdf,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),NA,updated with corrected natural mortalities by ICES  (2015),2010,754000,TBbest-MT,MT,0.039920424,ERbest-ratio,ratio,NA,NA,0.16,,NA,NA,410000,Bpa,,,,,,,,,,
HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018,HERRVIaVIIbc,multinational,Europe (EU),,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),NA,NA,2010,699000,TBbest-MT,MT,0.041630901,ERbest-ratio,ratio,NA,NA,0.16,,NA,NA,410000,Bpa,,,,,,,,,,
HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018,HERRVIaVIIbc,multinational,Europe (EU),,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),NA,NA,2010,631000,TBbest-MT,MT,0.04770206,ERbest-ratio,ratio,NA,NA,0.16,,NA,NA,410000,Bpa,,,,,,,,,,
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2013-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/hom-west.pdf,Age-based analytical (Linked Separable Adapt VPA),Age-based analytical (Linked Separable Adapt VPA),0.15,NA,2012,1270000,TBbest-MT,MT,0.136220472,ERbest-ratio,ratio,NA,NA,0.13,,NA,NA,NA,NA,,,,,,,,,,
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2014-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/hom-west.pdf,Age-based analytical (Linked Separable Adapt VPA),Age-based analytical (Linked Separable Adapt VPA),0.15,NA,2012,1190000,TBbest-MT,MT,0.142857143,ERbest-ratio,ratio,NA,NA,0.13,,NA,NA,634577,MSY Btrigger ,,,,,,,,,,
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2015-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/hom-west.pdf,Age-based analytical (Linked Separable Adapt VPA),Age-based analytical (Linked Separable Adapt VPA),0.15,NA,2012,1240000,TBbest-MT,MT,0.139516129,ERbest-ratio,ratio,NA,NA,0.13,,NA,NA,634577,MSY Btrigger ,,,,,,,,,,
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2016-ICESIMP2018,HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/hom-west.pdf,Age-based analytical (Linked Separable Adapt VPA),Age-based analytical (Linked Separable Adapt VPA),0.15,NA,2012,1030000,TBbest-MT,MT,0.167961165,ERbest-ratio,ratio,NA,NA,0.13,,NA,NA,634577,MSY Btrigger ,,,,,,,,,,
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2017-ICESIMP2018,HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/hom.27.2a4a5b6a7a-ce-k8.pdf,Length- and age-based analytical assessment (Stock Synthesis 3),Length- and age-based analytical assessment (Stock Synthesis 3),0.15,NA,2012,1320000,TBbest-MT,MT,0.128787879,ERbest-ratio,ratio,NA,NA,0.108,,NA,NA,911587,MSY Btrigger ,,,,,,,,,,
WGDEEP-LINGVa-1979-2014-ICESIMP2016,LINGVa,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/lin-icel.pdf,Analytical length-based assessment (Gadget model) ,Analytical length-based assessment (Gadget model) ,NA,NA,2013,75400,TBbest-MT,MT,0.155172414,ERbest-ratio,ratio,NA,NA,0.24,,NA,NA,9500,Bpa,,,,,,,,,,
WGDEEP-LINGVa-1982-2015-ICESIMP2016,LINGVa,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/lin-icel.pdf,Analytical length-based assessment (Gadget model) ,Analytical length-based assessment (Gadget model) ,NA,NA,2013,87300,TBbest-MT,MT,0.135166094,ERbest-ratio,ratio,NA,NA,0.24,,NA,NA,9500,Bpa,,,,,,,,,,
WGDEEP-LINGVa-1982-2016-ICESIMP2016,LINGVa,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/lin-icel.pdf,Analytical length-based assessment (Gadget model) ,Analytical length-based assessment (Gadget model) ,NA,NA,2013,57700,TBbest-MT,MT,0.197573657,ERbest-ratio,ratio,NA,NA,0.24,,NA,NA,9500,Bpa,,,,,,,,,,
WGMHSA-MACKNEICES-1972-2007-JENNINGS,MACKNEICES,multinational,Europe (EU),http://www.ices.dk,Statistical catch at age model,Integrated Catch-at-age Analysis,0.15,Assumed all age classes and years,2006,2920000,TBbest-MT,MT,0.162,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
WGWIDE-MACKNEICES-1980-2013-ICESIMP2016,MACKNEICES,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/mac-nea.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,0.15,NA,2006,3520000,TBbest-MT,MT,0.136647727,ERbest-ratio,ratio,NA,NA,0.25,,NA,NA,2360000,Bpa,,,,,,,,,,
WGWIDE-MACKNEICES-1980-2014-ICESIMP2016,MACKNEICES,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/mac-nea.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,0.15,NA,2006,3410000,TBbest-MT,MT,0.141055718,ERbest-ratio,ratio,NA,NA,0.25,,NA,NA,2360000,Bpa,,,,,,,,,,
WGWIDE-MACKNEICES-1980-2015-ICESIMP2018,MACKNEICES,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/mac-nea.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,0.15,NA,2006,3250000,TBbest-MT,MT,0.148,ERbest-ratio,ratio,NA,NA,0.22,,NA,NA,3000000,Bpa,,,,,,,,,,
WGWIDE-MACKNEICES-1980-2016-ICESIMP2018,MACKNEICES,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/mac-nea.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,0.15,NA,2006,3280000,TBbest-MT,MT,0.146646341,ERbest-ratio,ratio,NA,NA,0.22,,NA,NA,3000000,Bpa,,,,,,,,,,
WGWIDE-MACKNEICES-1980-2017-ICESIMP2018,MACKNEICES,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/mac.27.nea.pdf,Statistical catch at age model,Integrated Catch-at-age Analysis,0.15,NA,2006,3320000,TBbest-MT,MT,0.144879518,ERbest-ratio,ratio,NA,NA,0.21,,NA,NA,2570000,Bpa,,,,,,,,,,
WGBIE-MEG8c9a-1985-2015-ICESIMP2016,MEG8c9a,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/mgw-8c9a.pdf,Age-based assessment (XSA),Age-based assessment (XSA),0.2,NA,2010,962,TBbest-MT,MT,0.0719,F-1/yr,1/yr,NA,NA,0.17,,NA,NA,910,Bpa,,,,,,,,,,
WGBIE-MEG8c9a-1985-2016-ICESIMP2016,MEG8c9a,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/mgw-8c9a.pdf,Age-based assessment (XSA),Age-based assessment (XSA),0.2,NA,2010,931,TBbest-MT,MT,0.0733,F-1/yr,1/yr,NA,NA,0.19,,NA,NA,980,Bpa,,,,,,,,,,
WGBIE-MEG8c9a-1985-2017-ICESIMP2018,MEG8c9a,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/meg.27.8c9a.pdf,Age-based assessment (XSA),Age-based assessment (XSA),0.2,NA,2010,916,TBbest-MT,MT,0.0745,F-1/yr,1/yr,NA,NA,0.19,,NA,NA,980,Bpa,,,,,,,,,,
WGBIE-MEG8c9a-1985-2018-ICESIMP2018,MEG8c9a,multinational,Europe (EU),,Age-based assessment (XSA),Age-based assessment (XSA),0.2,NA,2010,906,TBbest-MT,MT,0.0757,F-1/yr,1/yr,NA,NA,0.191,,NA,NA,980,Bpa,,,,,,,,,,
WGHMM-MEG8c9a-1985-2010-NEUBAUER,MEG8c9a,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/WGHMM/Sec%2009%20-%20Megrims%20in%20Divisions%20VIIIc%20and%20IXa.pdf,Age-based assessment (XSA),Age-based assessment (XSA),0.2,Considered constant across ages and years,2010,943,TBbest-MT,MT,0.0759,F-1/yr,1/yr,NA,NA,0.17,NA,NA,NA,NA,NA,,,,,,,,,,
WGHMM-MEG8c9a-1985-2013-ICESIMP2016,MEG8c9a,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/mgw-8c9a.pdf,Age-based assessment (XSA),Age-based assessment (XSA),0.2,NA,2010,1120,TBbest-MT,MT,0.0847,F-1/yr,1/yr,NA,NA,0.17,,NA,NA,NA,NA,,,,,,,,,,
WGBIE-MEGVII-VIIIabd-1983-2016-ICESIMP2016,MEGVII-VIIIabd,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/mgw-78.pdf,Statistical catch at age ,Statistical catch at age ,0.2,NA,2013,77700,TBbest-MT,MT,0.268983269,ERbest-ratio,ratio,NA,NA,0.191,Fmsy,NA,NA,41800,Bpa,,,,,,,,,,
WGBIE-MEGVII-VIIIabd-1983-2017-ICESIMP2018,MEGVII-VIIIabd,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/meg.27.7b-k8abd.pdf,Statistical catch at age ,Statistical catch at age ,0.2,NA,2013,70900,TBbest-MT,MT,0.294781382,ERbest-ratio,ratio,NA,NA,0.191,Fmsy,NA,NA,41800,Bpa,,,,,,,,,,
